rank,item_id,label,group,score,confidence,uncertainty,rating_mean,rating_count,comparison_count,pairwise_win_rate
1,worked-examples,Worked examples,practice,0.8354961126077718,0.997913185753155,0.005987660975721418,4.310951709970574,533,3292.594682466378,0.8495773819772134
2,interactive-notebooks,Interactive notebooks,practice,0.793238676181263,0.9976660250729195,0.006917349073730295,4.205733052844446,478,2941.628937731065,0.7835862427817737
3,project-builds,Small project builds,practice,0.7660660675509572,0.9974936410350174,0.007493010927124059,4.164544357404519,439,2744.8811757499343,0.7313549997819447
4,office-hours,Office hours,support,0.6918303831490087,0.99641306956115,0.009777125919051747,3.9908968663913167,352,1870.3192482776485,0.6116855085768275
5,visual-simulations,Visual simulations,exploration,0.6510423550842797,0.9960819593080146,0.010548251061008889,3.916874592010366,321,1712.8368845337798,0.5377380780063055
6,short-videos,Short videos,content,0.5904290490409065,0.9978503849211179,0.008060904722966836,3.7532650236686314,574,3139.5965214387925,0.44559298682887505
7,textbook-chapters,Textbook chapters,content,0.49406839602343994,0.9973744238374459,0.009057466964898397,3.490184215348407,474,2564.9502709903636,0.30330913734828174
8,flashcards,Flashcards,review,0.39887198541561436,0.996283993123591,0.010553427050239147,3.170140627762155,334,1810.8485457838574,0.18517136429941755
9,long-lectures,Long lectures,content,0.33974916211311906,0.9972391277064444,0.008798564932147462,3.002506603579201,452,2437.6349317834747,0.09944154265009783
10,discussion-board,Discussion board,support,0.2987746023087963,0.9956438666902453,0.010680860543518618,2.8236880678481984,288,1540.4910876546328,0.06380778247610054
