t,S,E,I-P,I-A,I-S,I-H,R,D_cum,alive
1,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,1
3,1,0,0,0,1,1,0,0,3
4,0,1,0,0,0,0,3,0,4
5,0,0,1,0,0,0,3,0,4
6,1,0,0,0,1,0,4,0,6
7,1,0,0,0,0,0,6,0,7
8,1,1,0,0,0,0,6,0,8
9,0,0,0,0,0,0,8,0,8
10,2,0,0,0,0,0,8,0,10
11,0,0,0,0,2,0,8,0,10
12,1,0,0,0,0,0,11,0,12
13,0,0,1,0,0,0,12,0,13
14,0,0,1,0,0,0,13,0,14
15,0,1,0,0,1,0,13,0,15
16,0,1,0,0,0,0,15,0,16
17,0,1,0,0,0,0,16,0,17
18,0,0,0,0,1,0,17,0,18
19,0,0,1,0,0,1,17,0,19
20,1,0,0,0,1,0,17,1,19
21,0,0,0,0,1,1,18,1,20
22,0,0,0,1,0,0,20,1,21
23,0,0,1,0,0,0,21,1,22
24,0,0,1,0,0,0,22,1,23
25,0,1,0,0,0,0,23,1,24
26,1,0,0,0,0,0,24,1,25
27,1,0,0,0,0,0,25,1,26
28,1,1,0,0,0,0,25,1,27
29,0,1,0,1,0,0,26,1,28
30,1,0,1,0,0,0,27,1,29
31,0,1,0,0,0,0,29,1,30
32,1,1,0,0,0,0,29,1,31
33,0,1,0,0,0,0,31,1,32
34,1,1,0,0,0,0,31,1,33
35,0,0,1,0,0,0,32,2,33
36,1,0,1,0,0,0,32,2,34
37,0,0,1,0,0,0,34,2,35
38,0,1,0,1,0,0,34,2,36
39,0,0,0,0,0,0,37,2,37
40,0,0,2,0,0,0,36,2,38
41,0,0,0,0,0,0,39,2,39
42,2,0,0,1,0,0,38,2,41
43,0,0,0,0,0,0,41,2,41
44,1,0,0,0,1,0,41,2,43
45,0,1,0,0,0,0,43,2,44
46,1,1,0,0,0,0,43,2,45
47,0,0,1,0,0,0,45,2,46
48,0,0,1,0,0,0,46,2,47
49,0,0,1,0,0,0,47,2,48
50,1,0,0,0,0,0,48,2,49
51,0,1,0,0,1,0,48,2,50
