t,S,E,I-P,I-A,I-S,I-H,R,D_cum,alive
1,2,0,0,0,0,0,0,0,2
2,3,0,0,0,0,0,0,0,3
3,1,3,0,0,0,0,0,0,4
4,2,0,3,0,0,0,0,0,5
5,2,1,0,2,1,0,0,0,6
6,2,1,1,2,1,0,0,0,7
7,1,2,2,0,1,0,2,0,8
8,1,1,3,1,0,0,3,0,9
9,1,2,3,1,0,0,2,0,9
10,2,1,1,1,2,0,3,0,10
11,4,1,2,0,0,0,5,0,12
12,4,2,2,0,0,0,5,0,13
13,3,3,2,0,2,0,4,0,14
14,2,3,5,0,2,0,3,0,15
15,2,4,5,0,2,0,3,0,16
16,3,2,5,1,2,0,4,0,17
17,1,4,4,2,2,0,5,0,18
18,3,0,5,4,3,0,4,0,19
19,1,3,5,1,1,0,9,0,20
20,3,0,4,1,3,1,9,0,21
21,3,1,4,1,3,1,9,0,22
22,3,2,1,2,2,3,10,0,23
23,3,1,3,0,2,3,12,0,24
24,3,2,1,3,0,0,16,0,25
25,4,1,3,3,0,0,15,0,26
26,3,2,1,2,1,0,18,0,27
27,2,3,3,2,1,0,17,0,28
28,3,0,6,0,0,0,20,0,29
29,2,3,3,0,3,0,19,0,30
30,1,5,0,2,4,0,19,0,31
31,3,1,4,0,4,0,20,0,32
32,1,3,1,1,3,0,24,0,33
33,2,1,4,0,3,0,24,0,34
34,1,3,3,1,0,0,27,0,35
35,2,3,1,2,1,0,27,0,36
36,1,3,3,2,1,0,27,0,37
37,3,0,3,1,2,0,29,0,38
38,2,2,3,1,2,0,29,0,39
39,1,4,0,0,5,0,29,0,39
40,2,0,4,0,3,0,31,0,40
41,2,2,4,0,0,0,33,0,41
42,1,4,4,0,0,0,33,0,42
43,3,2,2,2,2,0,32,0,43
44,3,3,4,2,2,0,31,0,45
45,3,0,5,1,3,0,33,0,45
46,2,3,3,1,2,0,36,0,47
47,2,5,0,2,3,0,36,0,48
48,0,4,3,0,0,1,40,0,48
49,2,1,6,0,0,0,40,0,49
50,2,2,7,0,0,0,40,0,51
51,1,4,4,1,2,0,39,0,51
52,2,2,3,2,3,0,40,0,52
53,3,2,2,0,6,0,41,0,54
54,1,5,2,0,3,0,44,0,55
55,3,3,2,2,0,1,45,0,56
56,2,2,5,2,0,1,45,0,57
57,2,4,3,1,1,1,46,0,58
58,2,1,6,1,1,0,47,0,58
59,3,2,1,3,4,0,47,0,60
60,5,2,0,3,4,0,47,0,61
61,3,3,2,0,1,1,52,0,62
62,2,2,5,0,0,1,52,0,62
63,2,3,5,0,0,0,53,0,63
64,2,3,3,2,2,0,52,0,64
65,2,3,3,0,3,0,54,0,65
66,3,1,4,1,2,1,54,0,66
67,4,1,2,4,0,0,57,0,68
68,3,3,3,3,0,0,57,0,69
69,2,2,5,1,0,0,60,0,70
70,3,1,5,1,1,0,60,0,71
71,1,3,3,0,4,0,61,0,72
72,1,1,4,1,4,0,61,0,72
73,2,1,5,0,1,1,64,0,74
74,4,0,5,1,1,1,63,0,75
75,2,3,0,1,4,1,65,0,76
76,2,5,0,1,4,0,65,0,77
77,3,2,3,0,0,1,68,0,77
78,2,3,5,0,0,1,68,0,79
79,2,2,5,0,3,0,68,0,80
80,3,0,5,0,5,0,68,0,81
81,2,3,0,1,6,1,69,0,82
82,1,5,0,0,3,1,73,0,83
83,3,2,3,0,0,0,76,0,84
84,2,2,5,0,0,0,76,0,85
85,2,4,2,2,1,0,75,0,86
86,2,2,3,3,2,0,75,0,87
87,2,2,5,0,0,2,77,0,88
88,1,4,2,1,2,2,77,0,89
89,3,2,2,3,2,0,78,0,90
90,3,1,2,4,0,0,81,0,91
91,2,4,0,0,2,0,84,0,92
92,4,3,1,0,2,0,83,0,93
93,2,3,3,1,0,1,84,0,94
94,3,4,3,1,0,1,83,0,95
95,2,2,4,0,3,0,85,0,96
96,3,1,6,0,0,0,87,0,97
97,3,2,4,1,1,0,87,0,98
98,2,2,2,4,2,0,87,0,99
99,3,3,2,3,2,0,87,0,100
100,4,1,3,1,2,0,90,0,101
101,1,5,3,0,1,0,92,0,102
102,2,5,1,1,2,0,92,0,103
103,3,3,4,0,2,0,93,0,105
104,4,1,6,1,0,0,94,0,106
105,3,3,7,0,0,0,94,0,107
106,1,6,0,5,2,0,94,0,108
107,2,3,3,5,2,0,94,0,109
108,2,2,6,2,0,0,98,0,110
109,2,3,3,1,2,0,100,0,111
110,2,3,2,3,2,0,100,0,112
111,1,4,3,0,2,0,103,0,113
112,2,3,2,2,1,0,104,0,114
113,2,2,2,3,2,0,104,0,115
114,1,2,4,1,2,0,106,0,116
115,2,1,6,0,0,0,108,0,117
116,4,0,3,1,3,0,107,0,118
117,2,3,1,0,5,0,108,0,119
118,2,2,4,0,2,0,110,0,120
119,3,0,2,0,6,0,110,0,121
120,3,2,2,0,4,1,110,0,122
121,3,4,0,0,2,0,114,0,123
122,3,2,3,0,2,0,113,1,123
123,1,4,4,0,2,0,113,1,124
124,3,0,5,2,1,1,113,1,125
125,2,3,1,1,4,1,114,1,126
126,4,0,4,1,3,0,116,1,128
127,2,3,0,0,4,0,119,1,128
128,2,5,0,0,4,0,119,1,130
129,4,2,3,0,0,1,121,1,131
130,1,4,2,2,1,1,121,1,132
131,3,1,5,2,0,0,122,1,133
132,1,2,6,0,0,0,124,1,133
133,2,3,3,1,2,0,123,1,134
134,3,2,2,4,2,0,122,1,135
135,2,3,3,3,0,0,125,1,136
136,2,4,1,2,1,0,127,1,137
137,1,4,3,2,1,0,127,1,138
138,2,2,3,1,3,0,128,1,139
139,2,2,4,1,2,0,129,1,140
140,3,1,6,0,2,0,129,1,141
141,2,3,0,2,4,0,131,1,142
142,3,1,3,0,1,0,135,1,143
143,1,4,3,0,0,1,135,1,144
144,2,4,1,0,3,1,134,1,145
145,1,2,5,0,3,1,134,1,146
146,3,0,6,1,0,0,137,1,147
147,1,3,2,1,3,0,137,1,147
148,1,4,0,3,3,0,137,1,148
149,2,0,4,0,3,0,140,1,149
150,2,2,4,0,0,2,140,1,150
151,2,3,4,0,0,0,142,1,151
152,2,3,2,1,3,0,141,1,152
153,3,2,1,1,5,0,141,1,153
154,3,2,3,0,1,0,145,1,154
155,1,5,2,1,1,0,145,1,155
156,2,3,5,1,0,0,145,1,156
157,1,2,3,1,4,0,146,1,157
158,2,1,5,1,4,0,145,1,158
159,2,1,3,1,3,0,149,1,159
160,3,1,2,0,2,1,151,1,160
161,1,3,2,0,3,1,151,1,161
162,2,1,4,0,4,1,150,1,162
163,1,3,4,0,0,0,155,1,163
164,3,2,1,1,3,0,154,1,164
165,2,3,3,1,3,0,153,1,165
166,1,5,0,2,1,0,157,1,166
167,2,2,3,2,1,0,157,1,167
168,4,1,5,0,1,0,158,1,169
169,4,1,6,0,0,0,159,1,170
170,3,3,1,2,4,0,158,1,171
171,3,1,4,2,4,0,158,1,172
172,2,4,4,0,0,2,161,1,173
173,3,3,4,0,1,2,161,1,174
174,2,3,4,0,4,0,162,1,175
175,3,0,7,0,3,0,163,1,176
176,3,2,2,2,3,2,163,1,177
177,4,3,0,0,2,1,167,1,177
178,3,3,2,0,2,1,167,1,178
179,1,5,3,0,2,0,168,2,179
180,3,3,2,1,2,0,169,2,180
181,2,2,5,1,2,0,169,2,181
182,3,1,7,0,0,0,171,2,182
183,3,1,3,1,4,0,171,2,183
184,3,3,3,1,4,0,170,2,184
185,1,5,1,3,4,0,171,2,185
186,2,3,3,1,0,1,176,2,186
187,3,0,6,1,0,0,176,2,186
188,3,2,6,0,0,0,176,2,187
189,2,5,3,1,2,0,176,3,189
190,1,5,2,2,3,0,176,3,189
191,2,3,5,2,0,2,176,3,190
192,2,3,2,1,4,2,178,3,192
193,4,2,3,0,4,2,178,3,193
194,3,2,5,0,0,1,183,3,194
195,1,5,3,1,1,1,183,3,195
196,1,4,2,2,3,0,182,3,194
197,1,2,5,0,0,1,186,3,195
198,2,1,7,0,0,1,185,4,196
199,3,0,3,3,2,0,186,4,197
200,1,3,1,2,2,0,189,4,198
201,2,4,1,0,0,0,192,4,199
