kind,t,actual,predicted,lower,upper,split_or_belief_mode
fit,2,65.47097785209577,66.05490732762813,,,train
fit,3,66.7346028048997,66.70335854940429,,,train
fit,4,69.75801023599955,67.39934762611729,,,train
fit,5,72.66835250265937,71.86723071566746,,,train
fit,6,73.53022992739257,75.46972794799936,,,train
fit,7,74.77817130343018,74.53134365830253,,,train
fit,8,77.66739011822345,74.85094556799969,,,train
fit,9,79.22042707095109,79.14577353845497,,,train
fit,10,78.57583136607204,79.22565543181756,,,train
fit,11,85.45129414415486,78.11621508983752,,,train
fit,12,90.47438506881178,86.03735281700531,,,train
fit,13,91.75086585635138,91.52851871034655,,,train
fit,14,91.01067134877353,90.95976129853581,,,train
fit,15,91.6622666303893,89.48394888335181,,,train
fit,16,92.65629520178031,89.7900587489703,,,train
fit,17,91.99427617692389,90.60077177427227,,,train
fit,18,91.90072877593188,89.97962618976767,,,train
fit,19,93.9281256109066,89.88847973644442,,,train
fit,20,95.19448783569446,91.71396455589093,,,train
fit,21,76.81918508559359,92.85487354309635,,,train
fit,22,65.86188736743385,75.991497828207,,,train
fit,23,60.0625352447963,65.46434578411302,,,train
fit,24,54.92640189860585,58.18911743563072,,,train
fit,25,50.08055260085069,52.576695346243255,,,train
fit,26,54.21224697989899,47.85082530067923,,,train
fit,27,57.476158310269284,53.965998386865984,,,train
fit,28,58.039669180924975,59.88431052865263,,,train
fit,29,58.11647651188168,59.706899762194546,,,train
fit,30,59.9232610482549,59.53264044728779,,,train
fit,31,61.10111535589865,62.93968266452711,,,train
fit,32,60.19131734878035,62.79739526365395,,,validation
fit,33,60.03393605606957,61.51283755077313,,,validation
fit,34,61.58110131334891,61.22349681984623,,,validation
fit,35,62.15383339065906,62.574789558170025,,,validation
fit,36,61.991332776159894,63.0787710580474,,,validation
fit,37,64.22877525072076,62.92890471245751,,,validation
fit,38,68.15349993416669,64.94465444901144,,,validation
fit,39,70.87009740171229,70.23671919847713,,,validation
fit,40,73.5441956775445,73.76712205289934,,,validation
fit,41,78.15933871854135,76.5857414249068,,,validation
forecast,42,86.09663359563012,80.8697202558073,70.03972127212303,91.69971923949156,expansion
forecast,43,89.95324432203869,81.97931408530032,70.29876968502218,93.65985848557845,expansion
forecast,44,92.684724971512,82.13232996085272,69.79695891737666,94.46770100432877,expansion
forecast,45,101.62075804269098,81.74226253128977,68.82401739532936,94.66050766725017,baseline
forecast,46,106.34569837667036,81.0652693463039,67.59008056077047,94.54045813183731,baseline
forecast,47,107.49716396492762,80.2558620929234,66.2325138600504,94.27921032579638,baseline
forecast,48,108.75485625712929,79.40486453377594,64.8359856890124,93.97374337853947,baseline
forecast,49,110.22938670217475,78.56397381579434,63.450126016268335,93.67782161532034,baseline
