k,T,best_cost,current_cost
0,50,-280,-220
1,49.95,-280,-220
2,49.90005,-300,-300
3,49.85014995,-300,-300
4,49.80029980005,-300,-300
5,49.75049950024995,-300,-300
6,49.7007490007497,-300,-300
7,49.65104825174895,-300,-220
8,49.6013972034972,-300,-220
9,49.551795806293704,-300,-300
10,49.50224401048741,-300,-300
11,49.45274176647692,-300,-300
12,49.403289024710446,-300,-300
13,49.353885735685736,-300,-300
14,49.30453184995005,-300,-300
15,49.2552273181001,-300,-300
16,49.205972090782005,-300,-300
17,49.15676611869122,-300,-300
18,49.107609352572524,-300,-300
19,49.05850174321995,-300,-300
20,49.00944324147674,-300,-300
21,48.96043379823526,-300,-180
22,48.91147336443702,-300,-240
23,48.86256189107259,-300,-240
24,48.81369932918151,-300,-240
25,48.76488562985233,-300,-240
26,48.71612074422248,-300,-240
27,48.667404623478255,-300,-240
28,48.61873721885478,-300,-240
29,48.57011848163592,-300,-240
30,48.52154836315429,-300,-240
31,48.47302681479113,-300,-240
32,48.42455378797634,-300,-240
33,48.37612923418836,-300,-240
34,48.327753104954176,-300,-240
35,48.27942535184922,-300,-240
36,48.23114592649737,-300,-240
37,48.182914780570876,-300,-240
38,48.1347318657903,-300,-240
39,48.08659713392451,-300,-240
40,48.03851053679059,-300,-240
41,47.9904720262538,-300,-240
42,47.94248155422755,-300,-240
43,47.89453907267331,-300,-240
44,47.846644533600646,-300,-240
45,47.79879788906704,-300,-240
46,47.750999091177974,-300,-240
47,47.703248092086795,-300,-140
48,47.65554484399471,-300,-140
49,47.60788929915072,-300,-280
50,47.56028140985157,-300,-200
51,47.51272112844171,-300,-280
52,47.46520840731327,-300,-280
53,47.41774319890596,-300,-280
54,47.370325455707054,-300,-280
55,47.322955130251344,-300,-280
56,47.275632175121096,-300,-280
57,47.228356542945974,-300,-280
58,47.18112818640303,-300,-200
59,47.13394705821663,-320,-320
60,47.086813111158406,-320,-320
61,47.03972629804725,-320,-320
62,46.9926865717492,-320,-320
63,46.945693885177455,-320,-320
64,46.89874819129227,-320,-320
65,46.85184944310098,-320,-320
66,46.80499759365788,-320,-320
67,46.75819259606423,-320,-320
68,46.71143440346816,-320,-320
69,46.66472296906469,-320,-320
70,46.61805824609563,-320,-320
71,46.57144018784953,-320,-320
72,46.52486874766168,-320,-320
73,46.47834387891402,-320,-320
74,46.43186553503511,-320,-320
