node,distance,predecessor
0,0.000000,-1
1,6.214303,8
2,6.748140,40
3,8.592026,24
4,2.059868,0
5,10.191792,14
6,7.153779,39
7,10.263877,15
8,4.565683,39
9,5.515721,39
10,6.667254,8
11,11.940031,4
12,9.394457,40
13,15.332130,10
14,5.393455,39
15,8.644642,29
16,10.751773,9
17,6.077673,4
18,12.227043,44
19,7.444550,28
20,6.435877,39
21,9.263955,6
22,9.398954,9
23,12.740073,38
24,7.245790,40
25,10.166089,28
26,10.166592,8
27,9.156227,42
28,4.595998,4
29,7.442709,9
30,11.356738,5
31,10.513004,8
32,5.101118,39
33,12.972390,3
34,7.007004,28
35,6.768573,0
36,9.682835,14
37,6.787604,9
38,8.911089,24
39,1.840492,0
40,5.692517,28
41,7.731035,10
42,7.607625,0
43,11.165963,39
44,6.589129,9
45,7.660840,8
46,8.072392,20
47,7.826892,2
48,11.026827,9
49,10.039644,34
