tick,time_sec,active_cars,scheduled_smart_cars,smart_movable_runs,entered,exited,crashed,accidents_this_tick,mean_speed_mps,mean_travel_time_sec,queue_length
0,0.1,1,1,1,1,0,0,0,2.06,0,0
1,0.2,1,1,1,1,0,0,0,2.18,0,0
2,0.30000000000000004,1,1,1,1,0,0,0,2.3600000000000003,0,0
3,0.4,1,1,1,1,0,0,0,2.573276751714678,0,0
4,0.5,1,1,1,1,0,0,0,2.7852834144691285,0,0
5,0.6,2,2,2,2,0,0,0,2.527959356579525,0,0
6,0.7,3,3,3,3,0,0,0,2.4816946851529007,0,0
7,0.7999999999999999,3,3,3,3,0,0,0,2.650894568030702,0,0
8,0.8999999999999999,3,3,3,3,0,0,0,2.8494227897017517,0,0
9,0.9999999999999999,3,3,3,3,0,0,0,3.0564128292683925,0,0
10,1.0999999999999999,3,3,3,3,0,0,0,3.2616632344386134,0,0
11,1.2,3,3,3,3,0,0,0,3.4650627222482684,0,0
12,1.3,3,3,3,3,0,0,0,3.6665022955130717,0,0
13,1.4000000000000001,3,3,3,3,0,0,0,3.8658753906308294,0,0
14,1.5000000000000002,3,3,3,3,0,0,0,4.063078015078813,0,0
15,1.6000000000000003,3,3,3,3,0,0,0,4.258008874139844,0,0
16,1.7000000000000004,3,3,3,3,0,0,0,4.450569486449013,0,0
17,1.8000000000000005,3,3,3,3,0,0,0,4.640664288012823,0,0
18,1.9000000000000006,3,3,3,3,0,0,0,4.828200724413308,0,0
19,2.0000000000000004,3,3,3,3,0,0,0,5.013089330971026,0,0
20,2.1000000000000005,3,3,3,3,0,0,0,5.195243800702307,0,0
21,2.2000000000000006,3,3,3,3,0,0,0,5.374581039967322,0,0
22,2.3000000000000007,4,4,4,4,0,0,0,4.65126590882455,0,0
23,2.400000000000001,4,4,4,4,0,0,0,4.769365825024225,0,0
24,2.500000000000001,4,4,4,4,0,0,0,4.885180596250187,0,0
25,2.600000000000001,5,5,5,5,0,0,0,4.386926219865366,0,0
26,2.700000000000001,5,5,5,5,0,0,0,4.451797914978212,0,0
27,2.800000000000001,5,5,5,5,0,0,0,4.502721562956113,0,0
28,2.9000000000000012,5,5,5,5,0,0,0,4.578061121576314,0,0
29,3.0000000000000013,5,5,5,5,0,0,0,4.651382482034888,0,0
30,3.1000000000000014,5,5,5,5,0,0,0,4.722653438788706,0,0
31,3.2000000000000015,5,5,5,5,0,0,0,4.791843653235708,0,0
32,3.3000000000000016,6,6,6,6,0,0,0,4.364437176260796,0,0
33,3.4000000000000017,6,6,6,6,0,0,0,4.390557980595571,0,0
34,3.5000000000000018,6,6,6,6,0,0,0,4.404877946544787,0,0
35,3.600000000000002,6,6,6,6,0,0,0,4.447377618258021,0,0
36,3.700000000000002,6,6,6,6,0,0,0,4.48803887610401,0,0
37,3.800000000000002,6,6,6,6,0,0,0,4.526844881107116,0,0
38,3.900000000000002,6,6,6,6,0,0,0,4.553780016236025,0,0
39,4.000000000000002,6,6,6,6,0,0,0,4.568829824887061,0,0
40,4.100000000000001,6,6,6,6,0,0,0,4.571980946916667,0,0
41,4.200000000000001,6,6,6,6,0,0,0,4.603221052589528,0,0
42,4.300000000000001,6,6,6,6,0,0,0,4.622538774820495,0,0
43,4.4,6,6,6,6,0,0,0,4.629923640100061,0,0
44,4.5,6,6,6,6,0,0,0,4.655365998504978,0,1
45,4.6,6,6,6,6,0,0,0,4.683704831970077,0,1
46,4.699999999999999,6,6,6,6,0,0,0,4.716337386730265,0,1
47,4.799999999999999,6,6,6,6,0,0,0,4.751388395154171,0,1
48,4.899999999999999,6,6,6,6,0,0,0,4.787667999597847,0,1
49,4.999999999999998,6,6,6,6,0,0,0,4.8331642843357,0,1
50,5.099999999999998,6,6,6,6,0,0,0,4.887287548589864,0,1
51,5.1999999999999975,6,6,6,6,0,0,0,4.9458771087430256,0,1
52,5.299999999999997,6,6,6,6,0,0,0,5.0073719418375715,0,1
53,5.399999999999997,6,6,6,6,0,0,0,5.070669117681562,0,1
54,5.4999999999999964,6,6,6,6,0,0,0,5.144963689087645,0,1
55,5.599999999999996,6,6,6,6,0,0,0,5.229651417385306,0,1
56,5.699999999999996,6,6,6,6,0,0,0,5.31533964113604,0,0
57,5.799999999999995,6,6,6,6,0,0,0,5.401227891754217,0,0
58,5.899999999999995,6,6,6,6,0,0,0,5.486896995033546,0,0
59,5.999999999999995,6,6,6,6,0,0,0,5.57200629278464,0,0
60,6.099999999999994,6,6,6,6,0,0,0,5.656274126466601,0,0
61,6.199999999999994,6,6,6,6,0,0,0,5.739463956412294,0,0
62,6.299999999999994,6,6,6,6,0,0,0,5.821374302970683,0,0
63,6.399999999999993,6,6,6,6,0,0,0,5.901831337156786,0,0
64,6.499999999999993,6,6,6,6,0,0,0,5.980683344898888,0,0
65,6.5999999999999925,6,6,6,6,0,0,0,6.057796540460141,0,0
66,6.699999999999992,6,6,6,6,0,0,0,6.133051867814089,0,0
67,6.799999999999992,6,6,6,6,0,0,0,6.206342536873092,0,0
68,6.8999999999999915,6,6,6,6,0,0,0,6.277572114447881,0,0
69,6.999999999999991,6,6,6,6,0,0,0,6.346653039920046,0,0
70,7.099999999999991,6,6,6,6,0,0,0,6.41350547054081,0,0
71,7.19999999999999,7,7,7,7,0,0,0,5.6183071947622745,0,1
72,7.29999999999999,7,7,7,7,0,0,0,5.664749349047929,0,1
73,7.39999999999999,7,7,7,7,0,0,0,5.709108922287862,0,1
74,7.499999999999989,7,7,7,7,0,0,0,5.751337870720772,0,1
75,7.599999999999989,7,7,7,7,0,0,0,5.791392394018996,0,1
76,7.699999999999989,8,8,8,8,0,0,0,5.344578683055948,0,1
77,7.799999999999988,8,8,8,8,0,0,0,5.369720405570357,0,1
78,7.899999999999988,8,8,8,8,0,0,0,5.392865741276358,0,1
79,7.999999999999988,8,8,8,8,0,0,0,5.4139904104166146,0,1
80,8.099999999999987,8,8,8,8,0,0,0,5.433073676585517,0,1
81,8.199999999999987,8,8,8,8,0,0,0,5.452621923105523,0,1
82,8.299999999999986,9,9,9,9,0,0,0,5.082288697049549,0,1
83,8.399999999999986,9,9,9,9,0,0,0,5.09372998826101,0,1
84,8.499999999999986,9,9,9,9,0,0,0,5.103316237781674,0,1
85,8.599999999999985,9,9,9,9,0,0,0,5.111046240275508,0,1
86,8.699999999999985,9,9,9,9,0,0,0,5.116922627989105,0,1
87,8.799999999999985,9,9,9,9,0,0,0,5.120952013886853,0,1
88,8.899999999999984,9,9,9,9,0,0,0,5.123145131379849,0,1
89,8.999999999999984,9,9,9,9,0,0,0,5.123516966034718,0,1
90,9.099999999999984,9,9,9,9,0,0,0,5.122086874496529,0,1
