tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,40.647,70.000,0.000,0.000,-0.001,1,0.0000
1,0.0167,40.206,69.959,0.264,0.004,0.164,1,0.0000
2,0.0333,40.390,69.922,0.545,0.013,0.375,1,0.0000
3,0.0500,40.876,69.890,0.292,0.018,-0.033,1,0.0000
4,0.0667,41.722,69.855,0.015,0.019,-0.326,1,0.0000
5,0.0833,39.459,69.816,0.287,0.023,0.257,1,0.0000
6,0.1000,40.448,69.779,0.568,0.033,0.374,1,0.0000
7,0.1167,41.824,69.747,0.288,0.038,-0.360,1,0.0000
8,0.1333,45.354,69.713,0.574,0.047,0.441,1,0.0000
9,0.1500,39.107,69.689,0.874,0.062,0.591,1,0.0000
10,0.1667,38.732,69.661,0.624,0.072,0.498,1,0.0000
11,0.1833,41.847,69.629,0.374,0.078,0.287,1,0.0000
12,0.2000,41.355,69.596,0.659,0.089,0.418,1,0.0000
13,0.2167,39.340,69.568,0.955,0.105,0.556,1,0.0000
14,0.2333,38.250,69.542,0.705,0.117,0.452,1,0.0000
15,0.2500,44.375,69.510,0.455,0.125,0.232,1,0.0000
16,0.2667,41.713,69.483,0.754,0.137,0.583,1,0.0000
17,0.2833,45.549,69.457,1.077,0.155,0.881,1,0.0000
18,0.3000,44.598,69.442,0.872,0.170,0.835,1,0.0000
19,0.3167,39.692,69.422,0.622,0.180,0.528,1,0.0000
20,0.3333,44.295,69.391,0.666,0.191,0.528,1,0.0000
21,0.3500,42.344,69.367,0.989,0.208,0.884,1,0.0000
22,0.3667,40.184,69.346,0.739,0.220,0.627,1,0.0000
23,0.3833,40.049,69.318,1.053,0.237,0.763,1,0.0000
24,0.4000,40.185,69.295,1.375,0.260,0.865,1,0.0000
25,0.4167,44.024,69.277,1.497,0.285,0.872,1,0.0000
26,0.4333,43.761,69.267,1.247,0.306,0.798,1,0.0000
27,0.4500,41.294,69.252,1.575,0.332,0.939,1,0.0000
28,0.4667,39.092,69.240,1.325,0.354,0.401,1,0.0000
29,0.4833,44.831,69.220,1.651,0.382,0.910,1,0.0000
30,0.5000,43.219,69.214,1.401,0.405,0.799,1,0.0000
31,0.5167,42.054,69.201,1.151,0.425,0.659,1,0.0000
32,0.5333,39.543,69.182,1.474,0.449,0.871,1,0.0000
33,0.5500,38.123,69.166,1.224,0.469,0.595,1,0.0000
34,0.5667,34.708,69.143,0.974,0.486,0.447,1,0.0000
35,0.5833,40.414,69.112,1.309,0.508,1.023,1,0.0000
36,0.6000,39.636,69.094,1.059,0.525,0.659,1,0.0000
37,0.6167,41.060,69.070,1.386,0.548,0.922,1,0.0000
38,0.6333,42.104,69.054,1.136,0.567,0.739,1,0.0000
39,0.6500,40.752,69.036,1.465,0.592,0.946,1,0.0000
40,0.6667,40.123,69.021,1.814,0.622,1.193,1,0.0000
41,0.6833,41.810,69.011,1.564,0.648,1.043,1,0.0000
42,0.7000,39.833,68.999,1.911,0.680,1.164,1,0.0000
43,0.7167,41.350,68.991,1.661,0.707,1.021,1,0.0000
44,0.7333,40.235,68.980,1.654,0.735,1.008,1,0.0000
45,0.7500,43.124,68.968,1.965,0.768,1.068,1,0.0000
46,0.7667,42.129,68.965,2.187,0.804,1.096,1,0.0000
47,0.7833,39.631,68.964,1.937,0.836,0.858,1,0.0000
48,0.8000,40.438,68.955,2.285,0.875,1.177,1,0.0000
49,0.8167,41.539,68.954,2.035,0.908,0.848,1,0.0000
50,0.8333,37.678,68.950,2.396,0.948,1.330,1,0.0000
51,0.8500,45.057,68.946,2.146,0.984,0.959,1,0.0000
52,0.8667,39.915,68.949,2.001,1.018,0.927,1,0.0000
53,0.8833,41.489,68.942,2.004,1.051,0.918,1,0.0000
54,0.9000,40.507,68.937,2.053,1.085,0.915,1,0.0000
55,0.9167,40.354,68.932,2.378,1.125,0.980,1,0.0000
56,0.9333,41.318,68.932,2.679,1.169,1.034,1,0.0000
57,0.9500,37.937,68.938,3.010,1.220,1.098,1,0.0000
58,0.9667,42.031,68.945,2.760,1.266,1.025,1,0.0000
59,0.9833,40.362,68.954,3.119,1.318,1.311,1,0.0000
60,1.0000,42.142,68.966,2.869,1.365,1.082,1,0.0000
61,1.0167,42.093,68.977,2.619,1.409,0.753,1,0.0000
62,1.0333,36.461,68.983,2.969,1.459,1.192,1,0.0000
63,1.0500,39.650,68.987,2.719,1.504,0.946,1,0.0000
64,1.0667,39.566,68.992,3.078,1.555,1.313,1,0.0000
65,1.0833,37.845,69.002,2.828,1.602,0.914,1,0.0000
66,1.1000,40.321,69.006,2.578,1.645,0.763,1,0.0000
67,1.1167,37.940,69.009,2.920,1.694,1.109,1,0.0000
68,1.1333,39.180,69.015,2.670,1.738,0.476,1,0.0000
69,1.1500,38.578,69.018,2.986,1.788,0.786,1,0.0000
70,1.1667,41.640,69.025,3.333,1.844,1.166,1,0.0000
71,1.1833,37.641,69.043,3.083,1.895,0.977,1,0.0000
72,1.2000,37.713,69.051,3.267,1.950,0.996,1,0.0000
73,1.2167,38.882,69.061,3.569,2.009,1.050,1,0.0000
74,1.2333,37.026,69.079,3.319,2.064,0.644,1,0.0000
75,1.2500,38.839,69.090,3.674,2.126,1.260,1,0.0000
76,1.2667,41.591,69.109,3.424,2.183,0.825,1,0.0000
77,1.2833,36.968,69.128,3.720,2.245,0.874,1,0.0000
