tick,t_h,T_out,T_in,Q,energy_cum_kWh,error,in_band,violation_Fh
0,0.0000,1.897,70.000,5.000,0.083,0.103,1,0.0000
1,0.0167,0.793,69.989,5.000,0.167,-0.132,1,0.0000
2,0.0333,2.388,69.976,5.000,0.250,-0.099,1,0.0000
3,0.0500,0.382,69.965,5.000,0.333,0.136,1,0.0000
4,0.0667,-2.734,69.952,5.000,0.417,-0.029,1,0.0000
5,0.0833,0.048,69.935,5.000,0.500,0.151,1,0.0000
6,0.1000,4.118,69.921,5.000,0.583,0.249,1,0.0000
7,0.1167,-2.823,69.913,5.000,0.667,0.151,1,0.0000
8,0.1333,1.075,69.895,5.000,0.750,0.178,1,0.0000
9,0.1500,1.271,69.883,5.000,0.833,0.043,1,0.0000
10,0.1667,3.109,69.871,5.000,0.917,0.036,1,0.0000
11,0.1833,-2.715,69.861,5.000,1.000,0.197,1,0.0000
12,0.2000,-0.748,69.844,5.000,1.083,0.178,1,0.0000
13,0.2167,-2.034,69.829,5.000,1.167,0.103,1,0.0000
14,0.2333,2.152,69.813,5.000,1.250,0.264,1,0.0000
15,0.2500,-1.767,69.802,5.000,1.333,0.130,1,0.0000
16,0.2667,0.053,69.786,5.000,1.417,0.095,1,0.0000
17,0.2833,-2.452,69.773,5.000,1.500,0.245,1,0.0000
18,0.3000,-1.298,69.756,5.000,1.583,0.202,1,0.0000
19,0.3167,3.192,69.740,5.000,1.667,0.330,1,0.0000
20,0.3333,1.203,69.731,5.000,1.750,0.335,1,0.0000
21,0.3500,-1.626,69.719,5.000,1.833,0.394,1,0.0000
22,0.3667,-5.142,69.704,5.000,1.917,0.234,1,0.0000
23,0.3833,-0.891,69.683,5.000,2.000,0.430,1,0.0000
24,0.4000,3.909,69.668,5.000,2.083,0.261,1,0.0000
25,0.4167,0.538,69.660,5.000,2.167,0.354,1,0.0000
26,0.4333,1.048,69.648,5.000,2.250,0.185,1,0.0000
27,0.4500,-2.309,69.636,5.000,2.333,0.298,1,0.0000
28,0.4667,1.916,69.619,5.000,2.417,0.380,1,0.0000
29,0.4833,-1.799,69.608,5.000,2.500,0.392,1,0.0000
30,0.5000,-0.826,69.592,5.000,2.583,0.408,1,0.0000
31,0.5167,-2.311,69.578,5.000,2.667,0.324,1,0.0000
32,0.5333,0.387,69.561,5.000,2.750,0.367,1,0.0000
33,0.5500,-0.856,69.549,5.000,2.833,0.530,1,0.0000
34,0.5667,-1.515,69.534,5.000,2.917,0.527,1,0.0000
35,0.5833,-1.312,69.519,5.000,3.000,0.506,1,0.0000
36,0.6000,-2.225,69.504,5.000,3.083,0.479,1,0.0000
37,0.6167,5.007,69.488,5.000,3.167,0.487,1,0.0000
