tick,time_sec,active_cars,entered,exited,mean_speed_mps,mean_travel_time_sec,queue_length
0,0,1,1,0,4.151714677640603,0,0
1,1,1,1,0,6.143644354008339,0,0
2,2,3,3,0,3.9983801712377534,0,1
3,3,4,4,0,4.857480717673663,0,1
4,4,4,4,0,6.246411164453718,0,0
5,5,5,5,0,6.004097329758388,0,1
6,6,5,5,0,6.761550508356827,0,1
7,7,6,6,0,6.682938853307067,0,0
8,8,6,6,0,7.305448314097103,0,0
9,9,6,6,0,7.681917349067554,0,0
10,10,8,8,0,5.818532634249822,0,2
11,11,8,8,0,6.030128831880776,0,1
12,12,9,9,0,5.591856039054264,0,1
13,13,9,9,0,5.717122097721151,0,1
14,14,10,10,0,5.313122265848162,0,1
15,15,10,10,0,5.390833930554335,0,3
16,16,11,11,0,4.976677748318021,0,3
17,17,11,11,0,5.076500473389676,0,3
18,18,12,12,0,4.779590200996288,0,3
19,19,12,12,0,4.878760850767254,0,4
20,20,12,12,0,5.006317272636633,0,4
21,21,12,12,0,5.167053538692541,0,3
22,22,12,12,0,5.319563990235948,0,3
23,23,13,13,0,5.200019716763705,0,2
24,24,13,13,0,5.301042016286756,0,4
25,25,14,14,0,4.976540520256654,0,5
26,26,16,16,0,4.679752678187754,0,5
27,27,16,16,0,4.916794271131176,0,4
28,28,16,16,0,4.492556927440755,0,3
29,29,16,16,0,4.813477875245877,0,4
30,30,16,16,0,4.945105560197435,0,3
31,31,16,17,1,4.292125948669469,30,5
32,32,18,19,1,3.9918764183389603,30,7
33,33,18,19,1,4.224966895495033,30,6
34,34,18,19,1,4.532664378553465,30,6
35,35,18,19,1,4.781164407544206,30,6
36,36,18,19,1,5.0449603548015105,30,5
37,37,18,19,1,5.246165586328331,30,5
38,38,18,19,1,5.477270556033414,30,5
39,39,19,20,1,5.231202333656168,30,5
40,40,19,20,1,5.1153577643501,30,6
41,41,20,21,1,5.120840005740365,30,6
42,42,20,21,1,5.27425992306762,30,5
43,43,20,21,1,5.540325508503981,30,4
44,44,20,21,1,5.711903785616075,30,5
45,45,20,21,1,5.961454290266978,30,5
46,46,21,22,1,5.831752830922831,30,5
47,47,21,23,2,5.2523391008526925,37.5,6
48,48,21,23,2,5.3207512818409395,37.5,7
49,49,21,23,2,5.441048374114118,37.5,6
50,50,21,23,2,5.566562414611413,37.5,6
51,51,20,23,3,5.214470102359887,41.666666666666664,6
52,52,21,24,3,5.2529943376724235,41.666666666666664,6
53,53,20,24,4,4.922513337032964,43.5,8
54,54,21,25,4,4.743846529231336,43.5,9
55,55,22,26,4,4.648507808085836,43.5,9
56,56,22,26,4,4.782549571715996,43.5,9
57,57,22,26,4,4.895781149533247,43.5,9
58,58,21,26,5,4.663115937708288,45.2,8
59,59,21,26,5,4.790968366821969,45.2,8
60,60,21,26,5,4.882264999517622,45.2,10
61,61,21,26,5,4.964786875105436,45.2,10
62,62,23,28,5,4.613726768408971,45.2,12
